ID,Wort (Deutsch),Artikel,Plural,Wortart,Bedeutung (Indonesisch),Niveau,Thema (Netzwerk Neu),Beispielsatz (Deutsch),Beispielsatz (Indonesisch)
"a1-011","sprechen","","","Verb","Berbicara","A1","Kapitel 1: Guten Tag!","Ich spreche Indonesisch, Englisch und lerne jetzt Deutsch.","Saya berbicara bahasa Indonesia, Inggris, dan sekarang belajar bahasa Jerman."
"a1-012","Arzt","der","die Ärzte","Nomen","Dokter","A1","Kapitel 10: Gesundheit","Wenn du Fieber hast, musst du sofort zum Arzt gehen.","Jika kamu demam, kamu harus segera pergi ke dokter."
"a2-001","Bewerbung","die","die Bewerbungen","Nomen","Surat lamaran kerja / Aplikasi pekerjaan","A2","Kapitel 1: Berufswelt","Ich habe heute eine Bewerbung an ein deutsches Unternehmen geschickt.","Hari ini saya mengirimkan surat lamaran ke sebuah perusahaan Jerman."
"a2-002","vereinbaren","","","Verb","Menyepakati / Menentukan janji temu","A2","Kapitel 2: Termine & Alltag","Können wir morgen einen Termin beim Arzt vereinbaren?","Bisakah kita membuat janji temu di dokter besok?"
"a2-003","Erfahrung","die","die Erfahrungen","Nomen","Pengalaman","A2","Kapitel 4: Unterwegs im Leben","Das Auslandsstudium in München war eine unvergessliche Erfahrung.","Kuliah di luar negeri di Munich adalah pengalaman yang tak terlupakan."
"a2-004","kündigen","","","Verb","Mengundurkan diri / Membatalkan kontrak","A2","Kapitel 3: Arbeitsleben","Er hat seine alte Stelle gekündigt, um eine neue Firma zu gründen.","Dia mengundurkan diri dari pekerjaan lamanya untuk mendirikan perusahaan baru."
"a2-005","Sehenswürdigkeit","die","die Sehenswürdigkeiten","Nomen","Objek wisata / Tempat bersejarah","A2","Kapitel 6: Städtereisen","Das Brandenburger Tor ist eine der bekanntesten Sehenswürdigkeiten in Berlin.","Gerbang Brandenburg adalah salah satu objek wisata paling terkenal di Berlin."
"a2-006","gemütlich","","","Adjektiv","Nyaman / Hangat & santai","A2","Kapitel 5: Zuhause ankommen","Dieses kleine Café im Zentrum ist besonders gemütlich.","Kafe kecil di pusat kota ini sangat nyaman dan hangat."
"a2-007","verschieben","","","Verb","Menunda / Menggeser jadwal","A2","Kapitel 2: Termine planen","Können wir unser Treffen bitte auf nächsten Montag verschieben?","Bisakah kita menggeser pertemuan kita ke hari Senin depan?"
"a2-008","überweisen","","","Verb","Mentransfer (uang)","A2","Kapitel 8: Geld & Bank","Ich werde die Miete heute per Online-Banking überweisen.","Saya akan mentransfer uang sewa hari ini melalui online banking."
"a2-009","Veranstaltung","die","die Veranstaltungen","Nomen","Acara / Kegiatan","A2","Kapitel 7: Kultur erleben","Am Samstag findet eine interessante kulturelle Veranstaltung statt.","Pada hari Sabtu diadakan sebuah acara kebudayaan yang menarik."
"a2-010","vorsichtig","","","Adjektiv","Hati-hati / Waspada","A2","Kapitel 9: Verkehr & Sicherheit","Sei bitte vorsichtig, wenn du bei Regen auf der Autobahn fährst!","Harap berhati-hati saat berkendara di jalan tol saat hujan!"
"b1-001","Verantwortung","die","die Verantwortungen","Nomen","Tanggung jawab","B1","Kapitel 1: Miteinander leben","Als Teamleiter trage ich eine große Verantwortung für meine Mitarbeiter.","Sebagai ketua tim saya memikul tanggung jawab besar terhadap staf saya."
"b1-002","Umweltschutz","der","kein Plural","Nomen","Perlindungan lingkungan hidup","B1","Kapitel 4: Natur & Zukunft","Jeder Einzelne kann durch Mülltrennung zum Umweltschutz beitragen.","Setiap individu dapat berkontribusi pada perlindungan lingkungan lewat pemilahan sampah."
"b1-003","überzeugen","","","Verb","Meyakinkan","B1","Kapitel 3: Meinung äußern","Seine guten Argumente haben die Kommission vollkommen überzeugt.","Argumen-argumennya yang bagus telah benar-benar meyakinkan pihak komisi."
"b1-004","Zusammenhang","der","die Zusammenhänge","Nomen","Konteks / Keterkaitan / Hubungan","B1","Kapitel 5: Wissen & Medien","In diesem Zusammenhang müssen wir auch die Kosten berücksichtigen.","Dalam kaitan/konteks ini kita juga harus memperhitungkan biaya."
"b1-005","beeinflussen","","","Verb","Mempengaruhi","B1","Kapitel 6: Medienkonsum","Soziale Netzwerke beeinflussen die Meinungen junger Menschen stark.","Jejaring sosial sangat mempengaruhi opini kaum muda."
"b1-006","zuverlässig","","","Adjektiv","Dapat diandalkan / Terpercaya","B1","Kapitel 2: Arbeitswelt","Pünktlichkeit und zuverlässige Kollegen sind im Berufsalltag unverzichtbar.","Ketepatan waktu dan rekan kerja yang dapat diandalkan sangat penting di dunia kerja."
"b1-007","Herausforderung","die","die Herausforderungen","Nomen","Tantangan","B1","Kapitel 8: Ziele erreichen","Eine neue Sprache zu meistern ist immer eine spannende Herausforderung.","Menguasai bahasa baru selalu merupakan sebuah tantangan yang menarik."
"b1-008","entscheiden","","","Verb","Memutuskan / Mengambil keputusan","B1","Kapitel 7: Wege im Leben","Wir müssen uns bis morgen für ein Angebot entscheiden.","Kita harus memutuskan salah satu penawaran sebelum besok."
"b1-009","Ausbildung","die","die Ausbildungen","Nomen","Pelatihan kejuruan (Ausbildung) / Pendidikan vokasi","B1","Kapitel 2: Berufsausbildung","Das duale System der Ausbildung in Deutschland bietet hervorragende Zukunftschancen.","Sistem pendidikan ganda (Ausbildung) di Jerman menawarkan peluang masa depan luar biasa."
"b1-010","Verhandlung","die","die Verhandlungen","Nomen","Negosiasi / Perundingan","B1","Kapitel 9: Verträge & Geschäfte","Die Verhandlungen verliefen konstruktiv und führten zu einem fairen Kompromiss.","Negosiasi berjalan konstruktif dan menghasilkan kompromi yang adil."
"b2-001","Nachhaltigkeit","die","kein Plural","Nomen","Keberlanjutan (Sustainability)","B2","Kapitel 1: Globale Zukunft","Ökologische Nachhaltigkeit steht im Mittelpunkt moderner Wirtschaftskonzepte.","Keberlanjutan ekologis berada di pusat konsep ekonomi modern."
"b2-002","gewährleisten","","","Verb","Menjamin / Memastikan kepastian","B2","Kapitel 3: Recht und Sicherheit","Um die Qualität zu gewährleisten, führen wir strenge Kontrollen durch.","Untuk menjamin kualitas, kami melakukan pengawasan yang ketat."
"b2-003","Auseinandersetzung","die","die Auseinandersetzungen","Nomen","Perdebatan / Perselisihan / Analisis mendalam","B2","Kapitel 4: Konflikte und Debatten","Eine kritische Auseinandersetzung mit dem Thema ist dringend erforderlich.","Kajian kritis dan perdebatan mendalam mengenai topik ini sangat mendesak."
"b2-004","beeinträchtigen","","","Verb","Mengganggu / Merugikan / Menurunkan fungsi","B2","Kapitel 2: Gesundheit & Umwelt","Dauerhafter Stress beeinträchtigt sowohl die Konzentration als auch die Gesundheit.","Stres berkepanjangan mengganggu konsentrasi sekaligus kesehatan."
"b2-005","unverzichtbar","","","Adjektiv","Sangat esensial / Tidak dapat ditiadakan","B2","Kapitel 5: Digitale Welt","Gute Fremdsprachenkenntnisse sind auf dem internationalen Arbeitsmarkt unverzichtbar.","Kemampuan bahasa asing yang baik sangat esensial di pasar kerja internasional."
"b2-006","Voraussetzung","die","die Voraussetzungen","Nomen","Syarat mutlak / Prasyarat","B2","Kapitel 6: Universität & Forschung","Ein B2-Zertifikat ist die Voraussetzung für eine Ausbildung in Deutschland.","Sertifikat B2 adalah prasyarat untuk mengikuti program Ausbildung di Jerman."
"b2-007","berücksichtigen","","","Verb","Mempertimbangkan / Memperhatikan","B2","Kapitel 7: Politik und Gesellschaft","Bei der Entscheidungsfindung müssen alle Perspektiven berücksichtigt werden.","Dalam pengambilan keputusan, semua sudut pandang harus dipertimbangkan."
"b2-008","Wohlbefinden","das","kein Plural","Nomen","Kesejahteraan / Kesehatan batin dan fisik","B2","Kapitel 8: Lebensqualität","Regelmäßige Bewegung und gesunde Ernährung fördern das körperliche Wohlbefinden.","Olahraga teratur dan makanan sehat meningkatkan kesejahteraan fisik."
"b2-009","erheblich","","","Adjektiv","Signifikan / Substansial / Sangat besar","B2","Kapitel 9: Wirtschaftstrends","Die Produktivität des Unternehmens stieg in diesem Quartal erheblich an.","Produktivitas perusahaan meningkat secara signifikan pada kuartal ini."
"b2-010","Zweifellos","","","Adverb","Tanpa diragukan lagi / Niscaya","B2","Kapitel 10: Rhetorik & Präsentation","Zweifellos gehört die deutsche Sprache zu den wertvollsten Qualifikationen weltweit.","Tanpa diragukan lagi, bahasa Jerman adalah salah satu kualifikasi paling berharga di dunia."
"seed-1","Guten Tag","","","Redemittel","Selamat siang / Halo","A1","Kapitel 1","Guten Tag, wie heißen Sie?","Selamat siang, siapa nama Anda?"
"seed-2","Name","der","die Namen","Nomen","Nama","A1","Kapitel 1","Mein Name ist Florian.","Nama saya Florian."
"seed-3","Frau","die","die Frauen","Nomen","Wanita / Ibu (sapaan Ny./Nn.)","A1","Kapitel 1","Frau Müller unterrichtet Deutsch.","Ibu Müller mengajar bahasa Jerman."
"seed-4","Herr","der","die Herren","Nomen","Pria / Tuan","A1","Kapitel 1","Herr Weber kommt aus Hamburg.","Tuan Weber berasal dari Hamburg."
"seed-5","kommen","","","Verb","Datang / Berasal dari","A1","Kapitel 1","Woher kommen Sie?","Dari mana Anda berasal?"
"seed-6","wohnen","","","Verb","Tinggal","A1","Kapitel 1","Ich wohne in Frankfurt.","Saya tinggal di Frankfurt."
"seed-7","lernen","","","Verb","Belajar","A1","Kapitel 1","Wir lernen jeden Tag neue Wörter.","Kami belajar kosakata baru setiap hari."
"seed-8","Stadt","die","die Städte","Nomen","Kota","A1","Kapitel 2","Köln ist eine wunderschöne alte Stadt.","Köln adalah kota kuno yang sangat indah."
"seed-9","Land","das","die Länder","Nomen","Negara / Pedesaan","A1","Kapitel 2","Deutschland ist ein schönes Land.","Jerman adalah negara yang indah."
"seed-10","Sprache","die","die Sprachen","Nomen","Bahasa","A1","Kapitel 2","Welche Sprache sprichst du?","Bahasa apa yang kamu bicarakan?"
"seed-11","Freund","der","die Freunde","Nomen","Teman pria / Sahabat","A1","Kapitel 2","Mein bester Freund studiert Medizin.","Sahabat terbaik saya kuliah kedokteran."
"seed-12","Freundin","die","die Freundinnen","Nomen","Teman wanita / Pacar wanita","A1","Kapitel 2","Sie geht mit ihrer Freundin ins Kino.","Dia pergi bersama teman wanitanya ke bioskop."
"seed-13","Wasser","das","die Wässer","Nomen","Air","A1","Kapitel 3","Ein Glas stilles Wasser, bitte.","Segelas air mineral tanpa soda, tolong."
"seed-14","Brot","das","die Brote","Nomen","Roti","A1","Kapitel 3","Deutsches Brot schmeckt hervorragend.","Roti Jerman rasanya luar biasa."
"seed-15","Milch","die","kein Plural","Nomen","Susu","A1","Kapitel 3","Kaffee mit Milch und Zucker.","Kopi dengan susu dan gula."
"seed-16","Käse","der","die Käse","Nomen","Keju","A1","Kapitel 3","Ich mag Brötchen mit Käse.","Saya suka roti dengan keju."
"seed-17","Zimmer","das","die Zimmer","Nomen","Kamar / Ruangan","A1","Kapitel 4","Mein Zimmer hat ein großes Fenster.","Kamar saya memiliki jendela besar."
"seed-18","Küche","die","die Küchen","Nomen","Dapur","A1","Kapitel 4","In der Küche kochen wir Abendessen.","Di dapur kami memasak makan malam."
"seed-19","Bad","das","die Bäder","Nomen","Kamar mandi","A1","Kapitel 4","Das Bad ist sehr sauber renoviert.","Kamar mandi telah direnovasi sangat bersih."
"seed-20","Tisch","der","die Tische","Nomen","Meja","A1","Kapitel 4","Auf dem Tisch liegen viele Bücher.","Di atas meja terletak banyak buku."
"seed-21","Stuhl","der","die Stühle","Nomen","Kursi","A1","Kapitel 4","Bitte nehmen Sie auf dem Stuhl Platz.","Silakan duduk di kursi ini."
"seed-22","Uhr","die","die Uhren","Nomen","Jam","A1","Kapitel 5","Wie viel Uhr ist es jetzt?","Jam berapa sekarang?"
"seed-23","Minute","die","die Minuten","Nomen","Menit","A1","Kapitel 5","Der Bus kommt in fünf Minuten.","Bus datang dalam lima menit."
"seed-24","Tag","der","die Tage","Nomen","Hari","A1","Kapitel 5","Ich wünsche dir einen schönen Tag!","Semoga harimu menyenangkan!"
"seed-25","Woche","die","die Wochen","Nomen","Pekan / Minggu","A1","Kapitel 5","Nächste Woche fahre ich nach München.","Minggu depan saya pergi ke Munich."
"seed-26","Monat","der","die Monate","Nomen","Bulan","A1","Kapitel 5","Im Monat Mai blühen die Blumen.","Pada bulan Mei bunga-bunga bermekaran."
"seed-27","Jahr","das","die Jahre","Nomen","Tahun","A1","Kapitel 5","Frohes neues Jahr!","Selamat tahun baru!"
"seed-28","Fahrrad","das","die Fahrräder","Nomen","Sepeda","A1","Kapitel 8","Viele Menschen fahren mit dem Fahrrad zur Arbeit.","Banyak orang pergi bekerja naik sepeda."
"seed-29","Auto","das","die Autos","Nomen","Mobil","A1","Kapitel 8","Das Auto steht auf dem Parkplatz.","Mobil itu berada di tempat parkir."
"seed-30","Zug","der","die Züge","Nomen","Kereta api","A1","Kapitel 8","Der Zug fährt pünktlich um 08:30 Uhr ab.","Kereta berangkat tepat waktu pukul 08:30."
"seed-31","helfen","","","Verb","Membantu / Menolong","A1","Kapitel 6","Können Sie mir bitte helfen?","Bisakah Anda menolong saya?"
"seed-32","verstehen","","","Verb","Mengerti / Memahami","A1","Kapitel 1","Ich verstehe den deutschen Satz gut.","Saya memahami kalimat bahasa Jerman itu dengan baik."
"seed-33","kaufen","","","Verb","Membeli","A1","Kapitel 7","Wir kaufen heute im Supermarkt ein.","Kami berbelanja di supermarket hari ini."
"seed-34","bezahlen","","","Verb","Membayar","A1","Kapitel 7","Kann ich hier mit Karte bezahlen?","Bisakah saya membayar dengan kartu di sini?"
"seed-35","schreiben","","","Verb","Menulis","A1","Kapitel 9","Er schreibt eine E-Mail an seinen Lehrer.","Dia menulis email kepada gurunya."
"seed-36","lesen","","","Verb","Membaca","A1","Kapitel 9","Sie liest gerne deutsche Kurzgeschichten.","Dia suka membaca cerita pendek bahasa Jerman."
"seed-37","schlafen","","","Verb","Tidur","A1","Kapitel 10","Gute Nacht, schlaf gut!","Selamat malam, tidur nyenyak ya!"
"seed-38","gesund","","","Adjektiv","Sehat","A1","Kapitel 10","Obst und Gemüse sind sehr gesund.","Buah dan sayur sangat sehat."
"seed-39","krank","","","Adjektiv","Sakit","A1","Kapitel 10","Ich fühle mich heute leider etwas krank.","Sayangnya hari ini saya merasa agak sakit."
"seed-40","schön","","","Adjektiv","Indah / Cantik / Bagus","A1","Kapitel 6","Das Wetter ist heute besonders schön.","Cuaca hari ini sangat indah."
"seed-41","Ausbildung","die","die Ausbildungen","Nomen","Pelatihan kejuruan (Ausbildung)","A2","Kapitel 1","Er macht eine Ausbildung zum Mechatroniker.","Dia sedang menjalani Ausbildung menjadi mekanik mekatronika."
"seed-42","Praktikum","das","die Praktika","Nomen","Magang / Praktik kerja","A2","Kapitel 1","Im Sommer absolviere ich ein dreimonatiges Praktikum.","Pada musim panas saya menyelesaikan magang tiga bulan."
"seed-43","Kollege","der","die Kollegen","Nomen","Rekan kerja","A2","Kapitel 2","Meine Kollegen sind hilfsbereit und freundlich.","Rekan kerja saya suka menolong dan ramah."
"seed-44","Gehalt","das","die Gehälter","Nomen","Gaji / Upah bulanan","A2","Kapitel 2","Das Gehalt wird am Monatsende überwiesen.","Gaji ditransfer pada akhir bulan."
"seed-45","Vertrag","der","die Verträge","Nomen","Kontrak / Perjanjian","A2","Kapitel 3","Vor der Unterschrift müssen Sie den Vertrag sorgfältig lesen.","Sebelum tanda tangan, Anda harus membaca kontrak dengan teliti."
"seed-46","unterschreiben","","","Verb","Menandatangani","A2","Kapitel 3","Bitte unterschreiben Sie hier unten rechts.","Silakan tanda tangan di sini di kanan bawah."
"seed-47","Urlaub","der","die Urlaube","Nomen","Liburan / Cuti kerja","A2","Kapitel 4","Im August nehmen wir zwei Wochen Urlaub.","Pada bulan Agustus kami mengambil cuti liburan dua minggu."
"seed-48","Reisebüro","das","die Reisebüros","Nomen","Biro perjalanan / Agen tiket tur","A2","Kapitel 4","Wir buchen den Flug direkt im Reisebüro.","Kami memesan tiket penerbangan langsung di biro perjalanan."
"seed-49","Koffer","der","die Koffer","Nomen","Koper","A2","Kapitel 4","Ich habe meinen Koffer schon gestern Abend gepackt.","Saya sudah mengemas koper saya kemarin malam."
"seed-50","Pass","der","die Pässe","Nomen","Paspor","A2","Kapitel 4","Vergiss nicht deinen Reisepass!","Jangan lupa paspormu!"
"seed-51","übernachten","","","Verb","Bermalam / Menginap","A2","Kapitel 5","Wir übernachten in einer gemütlichen Jugendherberge.","Kami bermalam di hostel remaja yang nyaman."
"seed-52","Miete","die","die Mieten","Nomen","Uang sewa / Biaya kontrakan","A2","Kapitel 5","Die Warmmiete beträgt 650 Euro pro Monat.","Uang sewa bersih plus pemanas adalah 650 Euro per bulan."
"seed-53","Nachbar","der","die Nachbarn","Nomen","Tetangga","A2","Kapitel 5","Unsere Nachbarn sind sehr nett und ruhig.","Tetangga kami sangat baik dan tenang."
"seed-54","reparieren","","","Verb","Memperbaiki / Mereparasi","A2","Kapitel 6","Der Handwerker repariert heute die Heizung.","Tukang sedang memperbaiki pemanas hari ini."
"seed-55","Erkältung","die","die Erkältungen","Nomen","Masuk angin / Flu ringan","A2","Kapitel 7","Gegen die Erkältung trinke ich heißen Tee mit Zitrone.","Untuk meredakan flu saya minum teh hangat dengan lemon."
"seed-56","Medikament","das","die Medikamente","Nomen","Obat","A2","Kapitel 7","Holen Sie dieses Medikament bitte aus der Apotheke.","Tolong ambil obat ini dari apotek."
"seed-57","Termin","der","die Termine","Nomen","Janji temu / Jadwal","A2","Kapitel 8","Ich habe um 10 Uhr einen wichtigen Termin.","Saya memiliki janji temu penting pukul 10:00."
"seed-58","absagen","","","Verb","Membatalkan janji","A2","Kapitel 8","Leider muss ich das morgige Treffen absagen.","Sayangnya saya harus membatalkan pertemuan besok."
"seed-59","einladen","","","Verb","Mengundang","A2","Kapitel 9","Ich möchte dich zu meiner Geburtstagsparty einladen.","Saya ingin mengundangmu ke pesta ulang tahun saya."
"seed-60","Geschenk","das","die Geschenke","Nomen","Hadiah / Kado","A2","Kapitel 9","Vielen Dank für das wunderschöne Geschenk!","Terima kasih banyak atas hadiah yang sangat indah ini!"
"seed-61","Umwelt","die","kein Plural","Nomen","Lingkungan hidup","B1","Kapitel 1","Wir müssen die Umwelt für künftige Generationen schützen.","Kita harus melindungi lingkungan demi generasi mendatang."
"seed-62","Müll","der","kein Plural","Nomen","Sampah","B1","Kapitel 1","In Deutschland wird Müll sorgfältig getrennt.","Di Jerman sampah dipilah dengan sangat teliti."
"seed-63","Energie","die","die Energien","Nomen","Energi","B1","Kapitel 1","Erneuerbare Energien wie Windkraft sind die Zukunft.","Energi terbarukan seperti tenaga angin adalah masa depan."
"seed-64","sparen","","","Verb","Menghemat / Menabung","B1","Kapitel 1","Mit LEDs kann man viel Strom sparen.","Dengan lampu LED kita bisa menghemat banyak listrik."
"seed-65","Gesellschaft","die","die Gesellschaften","Nomen","Masyarakat / Komunitas","B1","Kapitel 2","Toleranz ist das Fundament einer offenen Gesellschaft.","Toleransi adalah fondasi masyarakat yang terbuka."
"seed-66","Unterschied","der","die Unterschiede","Nomen","Perbedaan","B1","Kapitel 2","Kennen Sie den Unterschied zwischen diesen beiden Wörtern?","Apakah Anda tahu perbedaan antara kedua kata ini?"
"seed-67","Erfolg","der","die Erfolge","Nomen","Kesuksesan / Keberhasilan","B1","Kapitel 3","Fleiß und Ausdauer sind der Schlüssel zum Erfolg.","Kerja keras dan ketekunan adalah kunci kesuksesan."
"seed-68","Zukunft","die","kein Plural","Nomen","Masa depan","B1","Kapitel 3","Ich blicke optimistisch in die Zukunft.","Saya memandang masa depan dengan optimis."
"seed-69","Meinung","die","die Meinungen","Nomen","Pendapat / Opini","B1","Kapitel 4","Meiner Meinung nach sollten wir mehr Deutsch sprechen.","Menurut pendapat saya, kita seharusnya berbicara bahasa Jerman lebih banyak."
"seed-70","behaupten","","","Verb","Mengklaim / Menyatakan","B1","Kapitel 4","Er behauptet, die Prüfung ohne Fehler bestanden zu haben.","Dia mengklaim telah lulus ujian tanpa satu pun kesalahan."
"seed-71","begründen","","","Verb","Memberikan alasan / Menjustifikasi","B1","Kapitel 4","Können Sie Ihre Entscheidung bitte näher begründen?","Bisakah Anda tolong menjelaskan alasan keputusan Anda lebih detail?"
"seed-72","Vorteil","der","die Vorteile","Nomen","Keuntungan / Kelebihan","B1","Kapitel 5","Ein großer Vorteil des Zugfahrens ist der Komfort.","Satu keuntungan besar naik kereta adalah kenyamanannya."
"seed-73","Nachteil","der","die Nachteile","Nomen","Kerugian / Kekurangan","B1","Kapitel 5","Der einzige Nachteil ist der höhere Preis.","Satu-satunya kekurangan adalah harganya yang lebih tinggi."
"seed-74","Bedingung","die","die Bedingungen","Nomen","Kondisi / Syarat","B1","Kapitel 6","Unter diesen Bedingungen können wir zusammenarbeiten.","Di bawah kondisi ini kita dapat bekerja sama."
"seed-75","Ziel","das","die Ziele","Nomen","Tujuan / Target","B1","Kapitel 7","Mein Ziel ist es, das Goethe-Zertifikat B1 zu erhalten.","Target saya adalah meraih sertifikat Goethe B1."
"seed-76","erreichen","","","Verb","Mencapai / Meraih target","B1","Kapitel 7","Mit Ausdauer kann man fast jedes Ziel erreichen.","Dengan kegigihan seseorang dapat mencapai hampir semua target."
"seed-77","schützen","","","Verb","Melindungi / Menjaga","B1","Kapitel 8","Wir müssen die Tiere vor dem Aussterben schützen.","Kita harus melindungi hewan-hewan dari kepunahan."
"seed-78","gewöhnen","","","Verb","Membiasakan diri","B1","Kapitel 9","Ich habe mich schnell an das deutsche Wetter gewöhnt.","Saya cepat terbiasa dengan cuaca di Jerman."
"seed-79","Eindruck","der","die Eindrücke","Nomen","Kesan","B1","Kapitel 10","Die historische Altstadt hat einen tiefen Eindruck hinterlassen.","Kota tua bersejarah itu meninggalkan kesan yang mendalam."
"seed-80","selbstverständlich","","","Adjektiv","Tentu saja / Sudah semestinya","B1","Kapitel 10","Höflichkeit ist für uns selbstverständlich.","Kesopanan bagi kami adalah hal yang sudah semestinya."
"seed-81","Gerechtigkeit","die","kein Plural","Nomen","Keadilan","B2","Kapitel 1","Soziale Gerechtigkeit ist die Voraussetzung für inneren Frieden.","Keadilan sosial adalah prasyarat untuk kedamaian internal."
"seed-82","Klimawandel","der","kein Plural","Nomen","Perubahan iklim global","B2","Kapitel 1","Die Folgen des Klimawandels erfordern weltweite Kooperation.","Dampak perubahan iklim menuntut kerja sama di seluruh dunia."
"seed-83","Fortschritt","der","die Fortschritte","Nomen","Kemajuan / Perkembangan pesat","B2","Kapitel 2","Technologischer Fortschritt verändert unseren Berufsalltag rasant.","Kemajuan teknologi mengubah rutinitas kerja kita dengan sangat pesat."
"seed-84","Forschung","die","die Forschungen","Nomen","Penelitian ilmiah / Riset","B2","Kapitel 2","Deutsche Universitäten investieren stark in medizinische Forschung.","Universitas-universitas Jerman berinvestasi besar pada penelitian medis."
"seed-85","Digitalisierung","die","kein Plural","Nomen","Digitalisasi","B2","Kapitel 3","Die Digitalisierung der Schulen eröffnet neue Bildungschancen.","Digitalisasi sekolah membuka peluang pendidikan baru."
"seed-86","Hürde","die","die Hürden","Nomen","Rintangan / Hambatan","B2","Kapitel 4","Bürokratische Hürden sollten abgebaut werden.","Hambatan birokrasi semestinya dipangkas."
"seed-87","bewältigen","","","Verb","Mengatasi / Menaklukkan kesulitan","B2","Kapitel 4","Gemeinsam können wir auch komplexe Krisen bewältigen.","Bersama-sama kita bahkan dapat menaklukkan krisis yang kompleks."
"seed-88","Wettbewerb","der","die Wettbewerbe","Nomen","Kompetisi / Persaingan bisnis","B2","Kapitel 5","Fairer Wettbewerb belebt den Markt und schützt Verbraucher.","Persaingan yang sehat menghidupkan pasar dan melindungi konsumen."
"seed-89","Fachkraft","die","die Fachkräfte","Nomen","Tenaga ahli / Tenaga kerja terampil","B2","Kapitel 5","Deutschland sucht händeringend nach qualifizierten Fachkräften.","Jerman sangat membutuhkan tenaga ahli yang berkualifikasi tinggi."
"seed-90","Bereicherung","die","die Bereicherungen","Nomen","Pengayaan / Nilai tambah yang memperkaya","B2","Kapitel 6","Der Austausch mit anderen Kulturen ist eine große persönliche Bereicherung.","Pertukaran dengan budaya lain adalah pengayaan pribadi yang luar biasa."
"seed-91","vermitteln","","","Verb","Menyampaikan / Memediasi / Mentransfer ilmu","B2","Kapitel 6","Der Lehrer versteht es, Begeisterung für die deutsche Literatur zu vermitteln.","Guru tersebut piawai menularkan antusiasme terhadap sastra Jerman."
"seed-92","Aussagekraft","die","kein Plural","Nomen","Bobot kebenaran / Validitas bukti","B2","Kapitel 7","Die Studie besitzt eine hohe wissenschaftliche Aussagekraft.","Studi tersebut memiliki validitas ilmiah dan bobot kebenaran yang tinggi."
"seed-93","belegen","","","Verb","Membuktikan dengan data / Mengambil kursus","B2","Kapitel 7","Aktuelle Zahlen belegen den positiven Trend in der Wirtschaft.","Angka-angka terkini membuktikan tren positif dalam perekonomian."
"seed-94","maßgeblich","","","Adjektiv","Sangat menentukan / Berperan krusial","B2","Kapitel 8","Seine Arbeit war maßgeblich für das Gelingen des Projekts.","Karyanya sangat krusial bagi keberhasilan proyek tersebut."
"seed-95","Priorität","die","die Prioritäten","Nomen","Prioritas utama","B2","Kapitel 8","Bildung und Spracherwerb haben für mich höchste Priorität.","Pendidikan dan penguasaan bahasa memiliki prioritas tertinggi bagi saya."
"seed-96","differenziert","","","Adjektiv","Bernuansa / Komprehensif dan teliti","B2","Kapitel 9","Wir benötigen eine differenzierte Betrachtung dieses Problems.","Kita membutuhkan peninjauan yang bernuansa dan teliti atas persoalan ini."
